country_code;region_name;sub_region_name;intermediate_region;country_name;income_group
ABW;AMERICAS;LATIN AMERICA AND THE CARIBBEAN;CARIBBEAN;ARUBA;INGRESO ALTO
AFG;ASIA;SOUTHERN ASIA;NO DATA;AFGHANISTAN;PAÍSES DE INGRESO BAJO
AGO;AFRICA;SUB-SAHARAN AFRICA;MIDDLE AFRICA;ANGOLA;PAÍSES DE INGRESO MEDIANO BAJO
ALB;EUROPE;SOUTHERN EUROPE;NO DATA;ALBANIA;INGRESO MEDIANO ALTO
AND;EUROPE;SOUTHERN EUROPE;NO DATA;ANDORRA;INGRESO ALTO
ARE;ASIA;WESTERN ASIA;NO DATA;UNITED ARAB EMIRATES;INGRESO ALTO
ARG;AMERICAS;LATIN AMERICA AND THE CARIBBEAN;SOUTH AMERICA;ARGENTINA;INGRESO MEDIANO ALTO
ARM;ASIA;WESTERN ASIA;NO DATA;ARMENIA;INGRESO MEDIANO ALTO
ASM;OCEANIA;POLYNESIA;NO DATA;AMERICAN SAMOA;INGRESO ALTO
ATG;AMERICAS;LATIN AMERICA AND THE CARIBBEAN;CARIBBEAN;ANTIGUA AND BARBUDA;INGRESO ALTO
AUS;OCEANIA;AUSTRALIA AND NEW ZEALAND;NO DATA;AUSTRALIA;INGRESO ALTO
AUT;EUROPE;WESTERN EUROPE;NO DATA;AUSTRIA;INGRESO ALTO
AZE;ASIA;WESTERN ASIA;NO DATA;AZERBAIJAN;INGRESO MEDIANO ALTO
BDI;AFRICA;SUB-SAHARAN AFRICA;EASTERN AFRICA;BURUNDI;PAÍSES DE INGRESO BAJO
BEL;EUROPE;WESTERN EUROPE;NO DATA;BELGIUM;INGRESO ALTO
BEN;AFRICA;SUB-SAHARAN AFRICA;WESTERN AFRICA;BENIN;PAÍSES DE INGRESO MEDIANO BAJO
BFA;AFRICA;SUB-SAHARAN AFRICA;WESTERN AFRICA;BURKINA FASO;PAÍSES DE INGRESO BAJO
BGD;ASIA;SOUTHERN ASIA;NO DATA;BANGLADESH;PAÍSES DE INGRESO MEDIANO BAJO
BGR;EUROPE;EASTERN EUROPE;NO DATA;BULGARIA;INGRESO ALTO
BHR;ASIA;WESTERN ASIA;NO DATA;BAHRAIN;INGRESO ALTO
BHS;AMERICAS;LATIN AMERICA AND THE CARIBBEAN;CARIBBEAN;BAHAMAS;INGRESO ALTO
BIH;EUROPE;SOUTHERN EUROPE;NO DATA;BOSNIA AND HERZEGOVINA;INGRESO MEDIANO ALTO
BLR;EUROPE;EASTERN EUROPE;NO DATA;BELARUS;INGRESO MEDIANO ALTO
BLZ;AMERICAS;LATIN AMERICA AND THE CARIBBEAN;CENTRAL AMERICA;BELIZE;INGRESO MEDIANO ALTO
